"timestamp","batch_id","day","channel","lead_id","business_name","template_id","send_status","delivery_status","open_status","reply_status","positive_reply","unsubscribe","complaint","bounce_type","suppressed","send_window_start","send_window_end","timezone","gate_lock","dispatch_lock","auto_send_enabled","followup_24h_at","followup_72h_at","followup_7d_at","notes"
"2026-03-02T15:10:00-08:00","BATCH-A-P1","1","email","gpass-wa-201","Done Right Works","top-queued-email-assets-2026-03-02.md","queued","pending","none","none","no","no","no","none","no","09:00","17:00","America/Los_Angeles","manual_approval_required","true","false","2026-03-03T15:10:00-08:00","2026-03-05T15:10:00-08:00","2026-03-09T15:10:00-08:00","asset=top-queued-email-assets-2026-03-02.md;approval=pending_main_agent_approval;verification=verified_email_phone"
"2026-03-02T15:15:00-08:00","BATCH-A-P1","1","email","gpass-pnw-220","Quality Pacific Roofing","next-queued-email-assets-2026-03-02-batch3.md","queued","pending","none","none","no","no","no","none","no","09:00","17:00","America/Los_Angeles","manual_approval_required","true","false","2026-03-03T15:15:00-08:00","2026-03-05T15:15:00-08:00","2026-03-09T15:15:00-08:00","asset=next-queued-email-assets-2026-03-02-batch3.md;approval=pending_main_agent_approval;verification=verified_email_phone"
"2026-03-02T15:20:00-08:00","BATCH-A-P1","1","email","gpass-wa-202","PNW Lawncare","top-queued-email-assets-2026-03-02.md","queued","pending","none","none","no","no","no","none","no","09:00","17:00","America/Los_Angeles","manual_approval_required","true","false","2026-03-03T15:20:00-08:00","2026-03-05T15:20:00-08:00","2026-03-09T15:20:00-08:00","asset=top-queued-email-assets-2026-03-02.md;approval=pending_main_agent_approval;verification=verified_email_phone"
"2026-03-02T15:25:00-08:00","BATCH-A-P1","1","email","gpass-wa-203","Frontier Landscaping","top-queued-email-assets-2026-03-02.md","queued","pending","none","none","no","no","no","none","no","09:00","17:00","America/Los_Angeles","manual_approval_required","true","false","2026-03-03T15:25:00-08:00","2026-03-05T15:25:00-08:00","2026-03-09T15:25:00-08:00","asset=top-queued-email-assets-2026-03-02.md;approval=pending_main_agent_approval;verification=verified_email_phone"
"2026-03-02T15:30:00-08:00","BATCH-A-P1","1","email","gpass-pnw-213","Handyman Rescue Team","next-queued-email-assets-2026-03-02-batch2.md","queued","pending","none","none","no","no","no","none","no","09:00","17:00","America/Los_Angeles","manual_approval_required","true","false","2026-03-03T15:30:00-08:00","2026-03-05T15:30:00-08:00","2026-03-09T15:30:00-08:00","asset=next-queued-email-assets-2026-03-02-batch2.md;approval=pending_main_agent_approval;verification=verified_email_phone"
"2026-03-02T15:35:00-08:00","BATCH-A-P1","1","email","gpass-wa-204","Nam's Landscaping LLC","top-queued-email-assets-2026-03-02.md","queued","pending","none","none","no","no","no","none","no","09:00","17:00","America/Los_Angeles","manual_approval_required","true","false","2026-03-03T15:35:00-08:00","2026-03-05T15:35:00-08:00","2026-03-09T15:35:00-08:00","asset=top-queued-email-assets-2026-03-02.md;approval=pending_main_agent_approval;verification=verified_email_phone"
"2026-03-02T15:40:00-08:00","BATCH-A-P1","1","email","gpass-pnw-207","Green Leaf Landscaping of Washington","top-queued-email-assets-2026-03-02.md","queued","pending","none","none","no","no","no","none","no","09:00","17:00","America/Los_Angeles","manual_approval_required","true","false","2026-03-03T15:40:00-08:00","2026-03-05T15:40:00-08:00","2026-03-09T15:40:00-08:00","asset=top-queued-email-assets-2026-03-02.md;approval=pending_main_agent_approval;verification=verified_email_phone"
"2026-03-02T15:45:00-08:00","BATCH-A-P1","1","email","gpass-pnw-214","Forever Roofing","next-queued-email-assets-2026-03-02-batch2.md","queued","pending","none","none","no","no","no","none","no","09:00","17:00","America/Los_Angeles","manual_approval_required","true","false","2026-03-03T15:45:00-08:00","2026-03-05T15:45:00-08:00","2026-03-09T15:45:00-08:00","asset=next-queued-email-assets-2026-03-02-batch2.md;approval=pending_main_agent_approval;verification=verified_email_phone"
"2026-03-02T15:50:00-08:00","BATCH-A-P1","1","email","gpass-pnw-223","A1 Handyman","next-queued-email-assets-2026-03-02-batch3.md","queued","pending","none","none","no","no","no","none","no","09:00","17:00","America/Los_Angeles","manual_approval_required","true","false","2026-03-03T15:50:00-08:00","2026-03-05T15:50:00-08:00","2026-03-09T15:50:00-08:00","asset=next-queued-email-assets-2026-03-02-batch3.md;approval=pending_main_agent_approval;verification=verified_email_phone"
"2026-03-02T15:55:00-08:00","BATCH-A-P1","1","email","gpass-pnw-208","Lobo Roofing LLC","top-queued-email-assets-2026-03-02.md","queued","pending","none","none","no","no","no","none","no","09:00","17:00","America/Los_Angeles","manual_approval_required","true","false","2026-03-03T15:55:00-08:00","2026-03-05T15:55:00-08:00","2026-03-09T15:55:00-08:00","asset=top-queued-email-assets-2026-03-02.md;approval=pending_main_agent_approval;verification=verified_email_phone"
